Rank,Journal,Total Cites,Journal Impact Factor,Eigenfactor Score
103,TRENDS IN BIOCHEMICAL SCIENCES,"16,944",15.678,0.030830
104,Nature Reviews Rheumatology,"6,584",15.661,0.022310
105,TRENDS IN COGNITIVE SCIENCES,"25,391",15.557,0.040790
105,TRENDS IN COGNITIVE SCIENCES,"25,391",15.557,0.040790
107,ENDOCRINE REVIEWS,"12,975",15.545,0.009920
108,CELL RESEARCH,"13,728",15.393,0.037450
109,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,"3,797",15.325,0.004990
110,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,"61,024",15.239,0.086830
111,Lancet Psychiatry,"3,223",15.233,0.015210
111,Lancet Psychiatry,"3,223",15.233,0.015210
113,CIRCULATION RESEARCH,"52,753",15.211,0.082820
114,Nature Reviews Cardiology,"5,228",15.162,0.018210
115,BLOOD,"167,858",15.132,0.278040
116,BEHAVIORAL AND BRAIN SCIENCES,"8,900",15.071,0.010130
116,BEHAVIORAL AND BRAIN SCIENCES,"8,900",15.071,0.010130
118,INTENSIVE CARE MEDICINE,"22,135",15.008,0.037580
119,Annual Review of Medicine,"6,111",14.970,0.010320
120,JOURNAL OF HEPATOLOGY,"37,108",14.911,0.087330
121,Annual Review of Fluid Mechanics,"11,622",14.814,0.011710
122,Annual Review of Neuroscience,"13,320",14.675,0.016110
123,COORDINATION CHEMISTRY REVIEWS,"30,949",14.499,0.034950
124,Nature Geoscience,"20,386",14.391,0.078890
125,Physical Review X,"10,288",14.385,0.069590
126,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,"533,512",14.357,0.728530
127,Annual Review of Physiology,"9,111",14.327,0.013180
128,NEURON,"89,410",14.318,0.216730
129,REPORTS ON PROGRESS IN PHYSICS,"15,949",14.257,0.030530
130,MOLECULAR CELL,"61,604",14.248,0.181170
131,TRENDS IN IMMUNOLOGY,"11,204",14.188,0.026850
132,Nature Microbiology,"2,510",14.174,0.013670
133,PROGRESS IN NEUROBIOLOGY,"13,065",14.163,0.015550
134,Chem,997,14.104,0.003220
135,Nature Reviews Nephrology,"4,668",14.101,0.017100
136,HEPATOLOGY,"63,302",14.079,0.103360
137,FUNGAL DIVERSITY,"4,078",14.078,0.006670
138,ANNALS OF ONCOLOGY,"38,738",13.926,0.095780
139,Annual Review of Entomology,"12,338",13.860,0.009360
140,Nature Chemical Biology,"19,562",13.843,0.061240
141,Physics of Life Reviews,"1,381",13.783,0.002960
142,Annual Review of Physical Chemistry,"8,793",13.738,0.014200
143,ACS Nano,"134,596",13.709,0.346500
144,ADVANCED DRUG DELIVERY REVIEWS,"34,931",13.660,0.043050
145,Light-Science & Applications,"4,249",13.625,0.015700
146,TRENDS IN BIOTECHNOLOGY,"14,746",13.578,0.019170
147,REVIEWS OF GEOPHYSICS,"10,115",13.529,0.012760
148,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,"11,301",13.439,0.012060
149,DIABETES CARE,"67,278",13.397,0.110140
150,AMERICAN JOURNAL OF PSYCHIATRY,"42,369",13.391,0.037870
150,AMERICAN JOURNAL OF PSYCHIATRY,"42,369",13.391,0.037870
152,NATURE STRUCTURAL & MOLECULAR BIOLOGY,"27,547",13.333,0.081820
